Status,Brand,CPU,RAM,Storage,GPU,Screen,Touch,Price
Refurbished,hp,i7,16,512,nvdia,15.6,No,3848.01
New,lenovo,i7,6,128,other,17.3,No,919.13
New,dell,other,4,500,intel,15.6,No,421.0343
New,dell,i3,4,256,amd,15.6,No,634.0
New,asus,i5,16,512,intel,14.0,No,1199.0
New,asus,i5,16,512,nvdia,15.6,No,949.0
New,apple,i5,8,128,intel,13.3,No,961.8658
New,hp,i3,4,128,intel,13.3,No,913.0
New,hp,i3,8,256,intel,15.6,No,399.37
New,hp,i5,8,256,nvdia,15.6,No,1129.0
Refurbished,apple,i5,8,128,intel,13.3,No,745.15
New,hp,other,4,500,amd,15.6,No,317.79
New,hp,ryzen 7,16,512,intel,15.6,No,899.99
New,msi,i7,16,128,other,17.3,No,2513.4300000000003
New,asus,i5,8,512,intel,15.6,No,609.0
New,samsung,i7,8,256,intel,13.3,Yes,1710.93
New,other,i7,16,512,intel,12.5,Yes,1924.93
New,asus,i7,16,256,nvdia,17.3,No,3810.0
New,hp,i7,16,512,nvdia,17.3,No,1300.0
New,lenovo,i7,8,256,intel,15.6,No,1173.79
Refurbished,lenovo,i7,16,512,nvdia,15.6,No,860.79
Refurbished,hp,i7,16,512,intel,15.6,No,1603.1
New,asus,ryzen 7,16,512,intel,14.0,No,1149.0
New,hp,ryzen 5,8,512,intel,15.6,No,709.65
New,hp,ryzen 5,12,256,intel,15.6,No,655.34
New,hp,i5,8,256,intel,12.5,No,1486.23
New,asus,i7,4,500,other,15.6,No,770.7424000000001
New,dell,i3,4,500,intel,15.6,No,524.3000000000001
New,lenovo,i5,16,512,intel,13.3,No,1162.82
New,hp,i5,8,256,intel,17.3,No,1179.0
New,lenovo,ryzen 5,8,512,intel,15.6,No,554.0
New,acer,i3,4,1000,intel,15.6,No,417.3
New,hp,i7,16,512,intel,15.6,No,789.0
New,lenovo,ryzen 5,8,256,intel,15.6,No,1002.59
New,hp,i3,4,128,amd,15.6,No,533.9300000000001
New,asus,ryzen 5,16,512,intel,14.0,No,868.74
Refurbished,acer,i3,8,256,intel,15.6,No,316.94
Refurbished,msi,i7,32,1000,nvdia,17.3,No,2243.18
Refurbished,lenovo,ryzen 7,16,512,nvdia,15.6,No,1299.0
New,dell,i5,8,256,intel,13.3,Yes,876.33
New,hp,i7,8,512,intel,12.5,No,1586.8100000000002
Refurbished,msi,i7,16,1000,nvdia,17.3,No,937.48
New,hp,i3,4,1000,intel,15.6,No,501.83
New,acer,i3,4,1000,intel,15.6,No,533.9300000000001
New,hp,i7,16,512,intel,15.6,No,959.93
Refurbished,msi,i9,32,1000,nvdia,15.6,No,3299.0
New,dell,i7,8,256,amd,15.6,No,983.33
Refurbished,lenovo,i7,8,256,intel,15.6,No,735.92
New,asus,i5,8,512,intel,15.6,No,901.99
New,asus,i5,4,1000,other,15.6,No,619.5300000000001
New,dell,i7,8,256,other,15.6,No,1209.4531
New,asus,other,4,128,intel,14.0,Yes,345.0
New,toshiba,i5,8,256,intel,15.6,No,1197.3300000000002
New,asus,ryzen 7,32,1000,nvdia,15.6,No,2079.01
New,msi,i7,32,1000,nvdia,17.3,No,1499.0
Refurbished,asus,i7,16,512,nvdia,15.6,No,1106.34
New,hp,ryzen 5,16,512,nvdia,16.1,No,865.4
Refurbished,hp,i7,16,512,nvdia,16.1,No,641.14
New,lenovo,ryzen 7,16,512,nvdia,16.0,No,1748.99
New,hp,i5,8,256,intel,13.3,Yes,895.162
New,hp,ryzen 5,8,512,intel,15.6,No,536.48
New,other,i7,32,1000,nvdia,17.0,No,2199.0
New,lenovo,ryzen 5,16,512,intel,14.0,No,749.0
Refurbished,lenovo,other,8,256,intel,15.6,No,480.95
Refurbished,apple,i3,8,256,intel,13.3,No,767.39
New,hp,i5,8,256,intel,15.6,No,494.81
New,dell,i7,8,256,intel,13.3,No,1550.43
Refurbished,hp,i5,8,256,intel,15.6,No,675.0
Refurbished,other,i7,16,512,nvdia,15.6,No,935.69
Refurbished,msi,i7,16,512,nvdia,15.6,No,1430.18
New,other,i3,8,512,intel,14.0,No,529.0
New,lenovo,i7,16,512,intel,15.6,No,1199.0
Refurbished,hp,i7,16,512,intel,14.0,No,1689.06
New,other,ryzen 5,2,32,intel,14.0,No,225.556
New,dell,i5,8,256,intel,15.6,No,1010.0
New,dell,i7,16,512,other,15.6,No,2501.6600000000003
Refurbished,lenovo,i7,16,1000,intel,14.0,Yes,1999.0
New,other,other,4,128,intel,14.0,No,267.49
New,acer,i7,8,256,other,15.6,No,1047.53
Refurbished,msi,i7,16,512,nvdia,15.6,No,736.49
New,acer,i5,6,1000,intel,15.6,No,587.4300000000001
Refurbished,msi,i7,16,512,nvdia,15.6,No,736.49
New,acer,i7,16,1000,nvdia,16.0,No,1899.0
New,asus,i5,16,512,intel,14.0,No,1259.0
New,lenovo,i5,8,256,intel,14.0,No,1782.0
New,lenovo,i7,16,1000,intel,14.0,No,2808.75
New,asus,i5,16,512,intel,14.0,No,846.31
New,dell,i5,8,500,amd,15.6,No,1464.8300000000002
New,dell,i7,8,1000,amd,15.6,No,641.893
New,acer,i7,16,512,nvdia,17.3,No,1629.0
New,hp,i7,8,256,intel,15.6,No,1813.0
New,other,i7,16,2000,nvdia,16.0,No,2899.0
Refurbished,lenovo,i7,16,512,nvdia,15.6,No,860.79
Refurbished,msi,i7,16,1000,nvdia,16.0,No,1749.0
New,lenovo,i5,8,512,intel,14.0,No,844.0
Refurbished,msi,i7,16,1000,nvdia,17.3,No,958.04
Refurbished,other,i7,16,1000,nvdia,15.6,No,2499.98
New,acer,i3,8,256,intel,15.6,No,616.33
