Status,CPU,RAM,Storage,GPU,Screen,Price,apple,asus,dell,hp,lenovo,microsoft,msi,other,samsung,toshiba
0,2,2,2,0.0,15.6,1165.23,0,0,0,0,0,0,1,0,0,0
0,0,1,3,1.0,15.6,394.83,0,0,1,0,0,0,0,0,0,0
0,3,4,3,2.0,16.0,3637.71,0,0,0,1,0,0,0,0,0,0
1,2,3,3,2.0,16.1,624.78,0,0,0,1,0,0,0,0,0,0
1,3,4,4,2.0,15.6,2799.0,0,0,0,0,0,0,1,0,0,0
0,2,2,3,0.0,15.6,905.22,0,0,0,0,0,0,0,0,0,0
0,3,2,3,0.0,15.6,1123.3930000000005,0,1,0,0,0,0,0,0,0,0
0,0,1,2,1.0,11.6,451.0,0,0,0,0,1,0,0,0,0,0
0,1,1,4,1.0,15.6,480.43,0,0,0,0,1,0,0,0,0,0
1,5,4,4,2.0,17.3,1931.64,0,1,0,0,0,0,0,0,0,0
1,3,3,3,1.0,15.6,1603.1,0,0,0,1,0,0,0,0,0,0
0,3,3,3,3.0,15.6,1263.9589,0,0,1,0,0,0,0,0,0,0
0,3,3,3,0.0,15.0,1978.43,0,0,0,0,0,0,0,0,1,0
0,3,3,3,2.0,15.6,2260.99,0,0,0,0,1,0,0,0,0,0
0,2,2,2,0.0,17.3,1045.39,0,0,0,1,0,0,0,0,0,0
1,3,3,4,2.0,15.6,1699.0,0,0,0,0,0,0,0,1,0,0
0,2,2,3,1.0,14.0,1179.0,0,1,0,0,0,0,0,0,0,0
1,3,3,3,1.0,15.6,749.0,0,1,0,0,0,0,0,0,0,0
1,3,4,4,2.0,15.6,2799.0,0,0,0,0,0,0,1,0,0,0
0,2,2,3,1.0,15.6,1015.01,0,0,0,1,0,0,0,0,0,0
0,3,2,4,0.0,15.6,961.93,0,0,0,1,0,0,0,0,0,0
0,3,2,3,3.0,15.6,1599.65,0,0,0,1,0,0,0,0,0,0
0,1,2,2,1.0,14.0,786.0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1.0,14.1,251.4,0,0,0,0,0,0,0,1,0,0
0,3,3,3,1.0,15.6,937.54,0,1,0,0,0,0,0,0,0,0
1,5,5,5,2.0,17.3,3799.0,0,0,0,0,0,0,1,0,0,0
1,2,3,3,2.0,15.6,1350.05,0,0,0,0,1,0,0,0,0,0
1,2,3,3,2.0,16.1,624.78,0,0,0,1,0,0,0,0,0,0
0,3,2,3,1.0,14.0,1177.9,0,0,1,0,0,0,0,0,0,0
0,2,2,2,0.0,17.3,1171.65,0,0,0,0,0,0,1,0,0,0
0,1,1,4,1.0,15.6,597.7020000000001,0,0,1,0,0,0,0,0,0,0
0,2,2,3,1.0,12.5,1282.93,0,0,0,1,0,0,0,0,0,0
0,3,4,4,1.0,13.4,1899.0,0,0,0,0,0,0,1,0,0,0
1,3,3,3,1.0,14.0,588.0,0,0,0,1,0,0,0,0,0,0
0,1,1,2,2.0,14.0,761.0,0,0,0,0,1,0,0,0,0,0
0,2,3,3,2.0,15.6,1049.99,0,0,0,1,0,0,0,0,0,0
1,3,3,4,2.0,14.0,854.59,0,1,0,0,0,0,0,0,0,0
1,3,3,4,1.0,17.3,1949.0,0,0,0,0,0,0,0,1,0,0
0,2,2,3,0.0,15.6,739.0,0,0,0,0,0,0,0,1,0,0
0,3,2,3,1.0,15.6,1496.93,0,0,0,0,1,0,0,0,0,0
1,2,2,3,1.0,13.3,511.59,0,0,1,0,0,0,0,0,0,0
0,1,1,2,2.0,15.6,674.1,0,0,0,0,1,0,0,0,0,0
1,3,3,3,2.0,16.0,2228.08,0,0,0,0,1,0,0,0,0,0
0,3,3,3,1.0,16.1,1149.0,0,0,0,1,0,0,0,0,0,0
0,2,2,3,2.0,15.6,879.0,0,0,1,0,0,0,0,0,0,0
0,3,3,3,3.0,14.4,2264.55,0,0,0,0,0,1,0,0,0,0
0,2,1,2,1.0,15.6,615.25,0,1,0,0,0,0,0,0,0,0
0,2,2,3,2.0,15.6,1000.27,0,0,0,0,1,0,0,0,0,0
0,2,2,3,2.0,15.6,977.0,0,1,0,0,0,0,0,0,0,0
0,3,3,3,1.0,15.0,1371.0,0,0,0,0,1,0,0,0,0,0
0,0,2,4,1.0,15.6,426.93,0,1,0,0,0,0,0,0,0,0
0,1,2,3,1.0,15.6,539.01,0,0,0,0,0,0,0,0,0,0
0,3,3,3,1.0,15.6,1035.84,0,1,0,0,0,0,0,0,0,0
0,2,2,3,0.0,15.6,529.0,0,0,0,0,0,0,0,0,0,0
0,3,2,4,1.0,15.6,1282.93,0,0,1,0,0,0,0,0,0,0
0,3,3,4,2.0,12.3,2842.5,0,0,0,0,0,1,0,0,0,0
0,3,2,3,2.0,15.0,2712.0,0,0,1,0,0,0,0,0,0,0
0,3,3,3,1.0,15.6,1479.9,0,0,0,0,0,0,0,1,0,0
0,2,2,3,2.0,15.6,549.0,0,0,0,0,0,0,0,1,0,0
0,3,3,3,1.0,15.6,1411.19,0,1,0,0,0,0,0,0,0,0
0,1,2,3,1.0,15.6,499.0,0,0,0,0,1,0,0,0,0,0
0,2,3,3,2.0,15.6,869.0,0,1,0,0,0,0,0,0,0,0
1,3,3,4,1.0,17.3,1999.0,0,0,0,0,0,0,1,0,0,0
0,1,2,4,1.0,15.6,469.73,0,0,1,0,0,0,0,0,0,0
0,0,1,1,2.0,11.6,186.18,0,0,0,0,0,0,0,0,0,0
1,3,3,3,1.0,16.0,2228.08,0,0,0,0,1,0,0,0,0,0
0,2,2,3,0.0,15.6,770.56,0,0,0,0,0,0,0,0,0,0
0,3,3,3,2.0,15.6,2535.9,0,0,0,0,1,0,0,0,0,0
0,2,3,3,1.0,15.6,1099.0,0,0,0,0,1,0,0,0,0,0
0,3,2,3,2.0,15.6,614.0,0,0,0,1,0,0,0,0,0,0
1,3,3,3,0.0,15.6,3848.01,0,0,0,1,0,0,0,0,0,0
0,3,2,2,1.0,17.3,919.13,0,0,0,0,1,0,0,0,0,0
0,0,1,3,3.0,15.6,421.0343,0,0,1,0,0,0,0,0,0,0
0,1,1,3,1.0,15.6,634.0,0,0,1,0,0,0,0,0,0,0
0,2,3,3,2.0,14.0,1199.0,0,1,0,0,0,0,0,0,0,0
0,2,3,3,1.0,15.6,949.0,0,1,0,0,0,0,0,0,0,0
0,2,2,2,1.0,13.3,961.8658,1,0,0,0,0,0,0,0,0,0
0,1,1,2,1.0,13.3,913.0,0,0,0,1,0,0,0,0,0,0
0,1,2,3,2.0,15.6,399.37,0,0,0,1,0,0,0,0,0,0
0,2,2,3,1.0,15.6,1129.0,0,0,0,1,0,0,0,0,0,0
1,2,2,2,3.0,13.3,745.15,1,0,0,0,0,0,0,0,0,0
0,0,1,3,1.0,15.6,317.79,0,0,0,1,0,0,0,0,0,0
0,3,3,3,0.0,15.6,899.99,0,0,0,1,0,0,0,0,0,0
0,3,3,2,1.0,17.3,2513.4300000000003,0,0,0,0,0,0,1,0,0,0
0,2,2,3,1.0,15.6,609.0,0,1,0,0,0,0,0,0,0,0
0,3,2,3,1.0,13.3,1710.93,0,0,0,0,0,0,0,0,1,0
0,3,3,3,2.0,12.5,1924.93,0,0,0,0,0,0,0,1,0,0
0,3,3,3,2.0,17.3,3810.0,0,1,0,0,0,0,0,0,0,0
0,3,3,3,1.0,17.3,1300.0,0,0,0,1,0,0,0,0,0,0
0,3,2,3,2.0,15.6,1173.79,0,0,0,0,1,0,0,0,0,0
1,3,3,3,1.0,15.6,860.79,0,0,0,0,1,0,0,0,0,0
1,3,3,3,1.0,15.6,1603.1,0,0,0,1,0,0,0,0,0,0
0,3,3,3,1.0,14.0,1149.0,0,1,0,0,0,0,0,0,0,0
0,2,2,3,1.0,15.6,709.65,0,0,0,1,0,0,0,0,0,0
0,2,3,3,1.0,15.6,655.34,0,0,0,1,0,0,0,0,0,0
0,2,2,3,0.0,12.5,1486.23,0,0,0,1,0,0,0,0,0,0
0,3,1,3,1.0,15.6,770.7424000000001,0,1,0,0,0,0,0,0,0,0
0,1,1,3,1.0,15.6,524.3000000000001,0,0,1,0,0,0,0,0,0,0
0,2,3,3,1.0,13.3,1162.82,0,0,0,0,1,0,0,0,0,0
0,2,2,3,1.0,17.3,1179.0,0,0,0,1,0,0,0,0,0,0
0,2,2,3,1.0,15.6,554.0,0,0,0,0,1,0,0,0,0,0
0,1,1,4,1.0,15.6,417.3,0,0,0,0,0,0,0,0,0,0
0,3,3,3,1.0,15.6,789.0,0,0,0,1,0,0,0,0,0,0
0,2,2,3,3.0,15.6,1002.59,0,0,0,0,1,0,0,0,0,0
0,1,1,2,1.0,15.6,533.9300000000001,0,0,0,1,0,0,0,0,0,0
0,2,3,3,1.0,14.0,868.74,0,1,0,0,0,0,0,0,0,0
1,1,2,3,2.0,15.6,316.94,0,0,0,0,0,0,0,0,0,0
1,3,4,4,2.0,17.3,2243.18,0,0,0,0,0,0,1,0,0,0
1,3,3,3,1.0,15.6,1299.0,0,0,0,0,1,0,0,0,0,0
0,2,2,3,1.0,13.3,876.33,0,0,1,0,0,0,0,0,0,0
0,3,2,3,2.0,12.5,1586.8100000000002,0,0,0,1,0,0,0,0,0,0
1,3,3,4,1.0,17.3,937.48,0,0,0,0,0,0,1,0,0,0
0,1,1,4,1.0,15.6,501.83,0,0,0,1,0,0,0,0,0,0
0,1,1,4,1.0,15.6,533.9300000000001,0,0,0,0,0,0,0,0,0,0
0,3,3,3,2.0,15.6,959.93,0,0,0,1,0,0,0,0,0,0
1,5,4,4,3.0,15.6,3299.0,0,0,0,0,0,0,1,0,0,0
0,3,2,3,1.0,15.6,983.33,0,0,1,0,0,0,0,0,0,0
1,3,2,3,1.0,15.6,735.92,0,0,0,0,1,0,0,0,0,0
0,2,2,3,0.0,15.6,901.99,0,1,0,0,0,0,0,0,0,0
0,2,1,4,0.0,15.6,619.5300000000001,0,1,0,0,0,0,0,0,0,0
0,3,2,3,1.0,15.6,1209.4531,0,0,1,0,0,0,0,0,0,0
0,0,1,2,1.0,14.0,345.0,0,1,0,0,0,0,0,0,0,0
0,2,2,3,2.0,15.6,1197.3300000000002,0,0,0,0,0,0,0,0,0,1
